歠	欼
謌	歌
踵	歱
歳	歲
𡻕	歲
歷	歴
歺	歹
殁	歿
狥	殉
𦢌	殰
淆	殽
育	毓
毘	毗
氈	毡
鷩	氅
氊	氈
甿	氓
阳	氜
陽	氜
炁	氣
絪	氤
綠	氯
氵	水
溺	氼
泛	汎
汚	汙
污	汙
洿	汙
洿	汚
沉	沈
沲	沱
洩	泄
渫	泄
洤	泉
遡	泝
淚	泪
灑	洒
渫	洩
濬	浚
澣	浣
潣	浼
湼	涅
湧	涌
莅	涖
蒞	涖
漰	淜
澹	淡
湻	淳
渰	淹
陼	渚
隈	渨
溫	温
訇	渹
𢕐	渹
𥔀	渹
須	湏
遡	溯
褟	溻
濕	溼
縟	溽
烕	滅
𢳜	漇
潨	漎
澷	漫
瀁	漾
𤕯	漿
潜	潛
灘	潬
澁	澀
濇	澀
瀒	澀
濇	澁
磵	澗
襖	澳
𥜌	澳
瀒	濇
霥	濛
靀	濛
濵	濱
瀕	濱
瀕	濵
闊	濶
砅	濿
灬	火
燈	灯
灰	灰
烘	灴
靈	灵
竈	灶
灾	災
烖	災
菑	災
烖	灾
菑	灾
爐	炉
照	炤
炰	炮
砲	炮
礮	炮
烱	炯
煠	炸
點	点
爲	為
煬	烊
菑	烖
燭	烛
蒸	烝
煙	烟
菸	烟
燄	焰
鍛	煅
鍜	煆
輝	煇
煮	煑
菸	煙
燺	熇
熙	熈
燻	熏
𤑕	熏
鎔	熔
𤍠	熱
粦	燐
簫	燒
耀	燿
爫	爪
𤕪	爿
蹌	牄
箋	牋
窓	牕
窗	牕
窻	牕
牜	牛
麰	牟
觝	牴
犂	犁
犭	犬
豺	犲
豻	犴
猶	犹
獨	独
獧	狷
貍	狸
陜	狹
虓	猇
颮	猋
飇	猋
猿	猨
蝯	猨
豬	猪
貓	猫
蝟	猬
獻	献
蝯	猿
麞	獐
玁	獫
𤢪	獵
貛	獾
茲	玆
玫	玟
瑇	玳
砇	珉
珎	珍
碔	珷
鞙	琄
瑯	琅
瑠	琉
璢	琉
碯	瑙
𤧚	璁
瓈	璃
璿	璇
甕	瓮
罋	瓮
缾	瓶
磁	瓷
磚	甎
罋	甕
罃	甖
罌	甖
蕤	甤
穌	甦
畫	画
畎	甽
菑	甾
留	畄
畱	畄
畝	畆
耕	畊
畱	留
畧	略
畵	畫
疆	畺
疃	畽
蛋	疍
疏	疎
肬	疣
皰	疱
痾	疴
癉	疸
胗	疹
蚘	痐
癢	痒
脹	痮
癡	痴
痺	痹
癒	瘉
癲	瘨
瘻	瘺
臞	癯
豋	登
皂	皁
貌	皃
貎	皃
睾	皋
臯	皋
皦	皎
皝	皓
顥	皓
顥	皝
皡	皞
皥	皞
皥	皡
鼓	皷
鼔	皷
縐	皺
盍	盇
益	益
碗	盌
葢	盖
蓋	盖
盜	盗
簠	盙
盭	盩
蕩	盪
蘯	盪
緲	眇
躭	眈
視	眎
真	眞
眦	眥
衆	眾
𠂝	眾
著	着
覩	睹
矁	瞅
𥈟	瞍
瞪	瞠
苤	瞥
瞷	瞯
矙	瞰
矖	矋
訠	矧
躷	矮
𥐘	石
纖	砌
磇	砒
鉈	砣
𥓿	砣
碪	砧
礮	砲
踁	硜
𥐞	硭
礙	碍
鹻	碱
鹼	碱
磥	磊
𧰊	磌
隕	磒
礮	礟
鑛	礦
𤮨	礱
罐	礶
礻	示
禮	礼
礼	礼
禴	礿
秘	祕
稟	禀
禱	禂
礼	禮
秃	禿
耔	秄
稈	秆
蓺	秇
藝	秇
籼	秈
秌	秋
龝	秋
耗	秏
耘	秐
稉	秔
粳	秔
粃	秕
稭	秸
迻	移
粳	稉
稺	稚
穉	稚
糯	稬
穪	稱
稿	稾
糓	穀
糠	穅
頴	穎
糯	穤
阱	穽
竊	窃
窖	窌
窗	窓
窻	窓
窻	窗
竆	窮
窰	窯
𥥅	竉
豎	竪
誩	競
簕	竻
𥵚	竻
𣔼	竿
筍	笋
篦	笓
筆	笔
篴	笛
荅	答
管	筦
算	筭
箸	筯
篠	筱
箛	箍
篪	箎
籃	箖
針	箴
鍼	箴
簫	箾
簒	篡
簁	篩
簛	篩
簛	簁
雝	簌
耕	簡
籄	簣
蕢	簣
𢅏	簾
𢅖	簾
蕢	籄
藤	籐
饌	籑
龠	籥
龥	籲
觕	粗
麄	粗
麤	粗
黏	粘
粵	粤
糧	粮
糉	粽
餱	糇
餻	糕
餹	糖
醩	糟
糨	糡
饊	糤
糹	糸
糾	糺
𨸚	級
衿	紟
紮	紥
綢	紬
緤	紲
褧	絅
纊	絖
緪	絚
縆	絚
縚	絛
袴	絝
褲	絝
鞴	絥
綂	統
繡	綉
𦀇	經
線	綫
繃	綳
緜	綿
𦂳	緊
縁	緣
褓	緥
縆	緪
褵	縭
繰	繅
繦	繈
襁	繈
遶	繞
襁	繦
韁	繮
纖	纎
缻	缶
罁	缸
鉢	缽
罌	罃
𨻲	罅
罔	网
羅	罗
辠	罪
覊	羈
羗	羌
羙	美
豝	羓
𦍩	羖
羨	羡
群	羣
羹	羮
羶	羴
翅	翄
翺	翱
耐	耏
鈀	耙
藉	耤
鎒	耨
聃	耼
馘	聝
聰	聦
軄	職
魙	聻
肈	肇
胳	肐
𩨘	肐
韌	肕
𦙶	股
胑	肢
胚	肧
胮	肨
餚	肴
膽	胆
𦚓	胓
骴	胔
臙	胭
骻	胯
𩨘	胳
胸	胷
脆	脃
脇	脅
脉	脈
衇	脈
衇	脉
腳	脚
臈	腊
臘	腊
𦙵	腕
髃	腢
齶	腭
顋	腮
骽	腿
膫	膋
饍	膳
鱠	膾
𤎱	臇
臘	臈
𦞣	臊
髕	臏
舓	舐
餂	舔
鋪	舖
館	舘
船	舡
艜	舦
豓	艶
豔	艶
艹	艸
草	艸
草	艹
𠚹	芟
蘆	芦
蘤	花
蒭	芻
𦷝	芻
茍	苟
苢	苡
莓	苺
薅	茠
荊	荆
莕	荇
蕎	荍
薦	荐
豆	荳
農	莀
蒞	莅
蓧	莜
菰	菇
𦱄	菇
蕈	菌
蔔	菔
蓖	萆
萲	萱
薑	葁
蓋	葢
藥	葯
蔥	葱
蓴	蒓
藝	蓺
麻	蔴
蕋	蕊
蘯	蕩
蘞	薟
藷	薯
𨣦	藇
蘽	藟
蘑	藦
𩦢	虞
蟲	虫
虯	虬
蚪	虬
蝨	虱
蟁	蚊
蜹	蚋
螾	蚓
蠶	蚕
蛔	蚘
蛕	蚘
螆	蚝
蚺	蚦
蛌	蛄
𧐅	蛆
蜑	蛋
螆	蛓
蛕	蛔
𧌓	蛗
鼃	蛙
鼄	蛛
蠭	蜂
𧋍	蜇
螂	蜋
蠩	蜍
蜞	蜝
蠟	蜡
蝶	蜨
蟀	蜶
螮	蝃
蠅	蝇
蠍	蝎
蟊	蝥
鰕	蝦
螎	融
螳	螗
蟻	螘
蠧	螙
蠃	螺
蟛	蟚
蟺	蟮
蠏	蟹
𧐢	蠔
衄	衂
釁	衅
𠂝	衆
衞	衛
𧘂	衝
衤	衣
袞	衮
袵	衽
襟	衿
襢	袒
襪	袜
褲	袴
裌	袷
褃	裉
裡	裏
裠	裙
躶	裸
褏	褎
襃	褒
褱	褢
褻	褺
雜	襍
𥜌	襖
襝	襜
韈	襪
韤	襪
霸	覇
觀	覌
覺	覐
覔	覓
𦕒	覘
靦	覥
覷	覰
麄	觕
麤	觕
觧	解
觵	觥
𢕐	訇
𥔀	訇
譌	訛
諶	訦
詾	訩
證	証
詬	訽
謊	詤
駪	詵
𧩙	誕
譙	誚
譚	談
餵	諉
鞫	諊
謚	諡
讍	諤
龤	諧
讁	謫
讐	讎
豔	豓
豚	豘
豣	豜
預	豫
邠	豳
蹢	豴
𧶶	販
質	貭
贓	賍
贜	賍
賔	賓
贊	賛
贒	賢
齎	賫
贐	賮
頼	賴
贃	賺
𧸖	贃
贗	贋
贜	贓
𤆍	赤
趕	赶
趂	趁
跙	趄
趨	趋
跳	趒
躁	趮
躍	趯
蹠	跖
蹟	跡
迹	跡
跺	跥
踹	跴
踴	踊
蹋	踏
