瀆	涜
溳	涢
凉	涼
淋	淋
淚	淚
澹	淡
凈	淨
清	淸
渴	渇
濟	済
澀	渋
溪	渓
淵	渕
逰	游
遊	游
況	湟
溼	湿
滿	満
濚	溁
漊	溇
潙	溈
漑	溉
潑	溌
澑	溜
溜	溜
濕	溼
磆	滑
滑	滑
灔	滟
漏	漏
潄	漱
瀁	漾
潨	潀
灌	潅
𣽽	潸
澁	澀
濇	澀
瀒	澀
澂	澄
潟	澙
瀂	澛
浕	濜
潛	濳
闊	濶
濾	濾
瀬	瀨
彌	瀰
灔	灎
灧	灔
灩	灔
烖	災
耿	炅
耿	炔
炙	炙
照	炤
炰	炮
砲	炮
礮	炮
烱	炯
爲	為
煥	烉
烙	烙
焰	焔
焳	焦
煢	焭
燒	焼
鍛	煅
錬	煉
煉	煉
煮	煑
熙	煕
熙	熈
燻	熏
鎔	熔
熺	熹
燎	燎
燐	燐
讌	燕
醼	燕
鷰	燕
爛	燗
燷	燣
𤑕	爋
爐	爐
箋	牋
牢	牢
犛	牦
羝	牴
觝	牴
犂	犁
髦	犛
犧	犠
豺	犲
貉	狢
狼	狼
獵	猟
猪	猪
獪	猾
奬	獎
獸	獣
獵	獵
茲	玆
率	率
率	率
璵	玙
珉	玟
玲	玲
珎	珍
珞	珞
瑅	珶
瑯	琅
理	理
琉	琉
璡	琎
雕	琱
瑩	瑩
璸	瑸
璘	璘
甁	瓶
缾	瓶
甆	瓷
什	甚
甛	甜
嘗	甞
產	産
角	甪
留	畄
畝	畆
畍	界
畝	畒
畮	畝
畧	略
略	略
蹯	番
画	畫
畵	畫
畭	畬
畲	畬
異	異
疊	畳
疊	疉
痢	痢
瘦	痩
痳	痲
瘺	瘘
癝	癛
霍	癨
癩	癩
發	発
皂	皁
歸	皈
皐	皋
鼓	皷
鼓	皼
盍	盇
益	益
省	省
瞪	眙
真	眞
衆	眾
蒙	矇
矏	矈
笶	矢
硎	研
碎	砕
碪	砧
礦	砿
礄	硚
硫	硫
磠	硵
鹼	硷
碌	碌
崎	碕
瑙	碯
磊	磊
磻	磻
險	礆
礴	礡
礪	礪
礼	礼
秘	祕
算	祘
神	神
祥	祥
祿	祿
福	福
祺	禥
禮	禮
秊	秊
耗	秏
耘	秐
穉	稚
稜	稜
稻	稲
稾	稿
穗	穂
糠	穅
秋	穐
穭	穞
穰	穣
阱	穽
窓	窗
窰	窯
灶	竃
立	立
豎	竖
龍	竜
豎	竪
竸	競
篪	竾
笠	笠
筇	笻
觔	筋
筺	筐
荅	答
筞	策
篠	筱
籤	签
篠	筿
個	箇
鉗	箝
钳	箝
篛	箬
簈	箳
罇	節
簒	篡
籠	篭
籛	篯
簔	簑
蓑	簑
簫	簘
簾	簾
籘	籐
藪	籔
籤	籖
籠	籠
粹	粋
粒	粒
麁	粗
麄	粗
肅	粛
鬻	粥
糯	粫
糭	粽
精	精
胡	糊
餹	糖
糖	糖
馓	糤
糉	糭
絲	糸
糾	糺
繫	系
紐	紐
索	索
紮	紥
綢	紬
扎	紮
纊	絋
經	経
紲	絏
纊	絖
褲	絝
纟	絲
繪	絵
絕	絶
繡	綉
繼	継
續	続
緑	綠
绿	綠
綠	綠
繃	綳
總	総
緖	緒
縁	緣
縕	緼
總	縂
繩	縄
縱	縦
纤	縴
緐	繁
繦	繈
纖	繊
繫	繋
繡	繍
翻	繙
繪	繢
缋	繪
襤	繿
颣	纇
纘	纉
纖	纎
纏	纒
線	线
褲	绔
絕	绝
繡	绣
緔	绱
繃	绷
線	缐
繮	缰
罐	缶
囉	罗
罦	罘
羂	罥
辠	罪
罸	罰
羀	罶
罹	罹
羅	羅
羈	羇
覉	羈
覊	羈
羚	羚
羨	羡
群	羣
羹	羮
羽	羽
翅	翄
翠	翆
翬	翚
翶	翱
翺	翱
翙	翽
耂	老
老	老
耈	耇
耈	耉
鋤	耡
藉	耤
躭	耽
聆	聆
聰	聡
聯	聨
聯	聫
聯	聮
聽	聴
